Ticker,Nome,Tipo,Setor,Preço,Target Price,Upside,Score,Rating,ROE,ROIC,Margem EBITDA,Dív. Líq./EBITDA,P/L,EV/EBITDA,Div. Yield,Cresc. Receita,Vol. Médio,Ret. 3m,Ret. 6m,Score Macro,Score Qualidade,Score Valuation,Score Momentum,Score Governança,Método Val.,NIM,Cost/Income,CET1 Proxy,NPL Proxy,P/BV,Cresc. Carteira,PDD/Lucro,Fonte CET1,Fonte NPL,Dados Ref.,Dados Fonte,P/VP,Spread CDI,Consist. Div.,Tipo FII
MATD3,MATER DEI   ON      NM,Ação,Saúde,4.79,5.87,0.2253,53.5,Neutro,0.082959995,0.07667082483470788,0.2526662023596908,2.874930179159821,11.139535,7.048,0.048017,0.07253246220250364,218595.0,-0.16112085291552936,0.009822929914151457,47.4,57.0,65.0,25,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
IGTI11,IGUATEMI S.AUNT     N1,Ação,Imobiliário & Construção,23.78,,,53.4,Neutro,0.15361,0.08475476652337073,0.9189034679752198,2.8750373282898667,145.88957,7.833,0.028595,0.13520487802388748,2547620.0,-0.1161486597470841,-0.12522093881463903,44.7,67.0,50.0,38,100.0,N/A,,,,,,,,,,,,,,,
NEOE3,NEOENERGIA  ON,Ação,Utilities (Energia),33.8,38.63,0.1429,53.3,Neutro,0.14588,0.0858960371279355,0.2981009548629654,3.548692225008957,7.7168946,6.386,0.043195,0.06953701307515003,0.0,0.021148060278212366,0.074788738117751,46.1,51.0,58.8,47,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
TGMA3,TEGMA       ON      NM,Ação,outros,30.15,33.89,0.124,53.2,Neutro,0.25372,0.20646106269328082,0.19208215228711062,0.20623208917689168,8.351801,6.14,0.146932,0.17537708282088915,181970.0,-0.04285715496729292,-0.1987776039667174,50.0,77.0,33.0,38,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
MYPK3,"IOCHP,MAXIONON      NM",Ação,outros,9.46,15.37,0.625,53.2,Neutro,0.04679,0.07427000494161992,0.09698932166694421,2.705206690866149,15.508197,3.911,0.09408,-0.03212270395970085,1003260.0,0.0271444081394705,-0.07072693963110599,50.0,37.0,67.0,48,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
RAPT4,RANDON PART PN      N1,Ação,outros,4.76,6.46,0.3571,53.2,Neutro,-0.025209999,0.05198180277088179,0.12024994396369974,4.003192707011871,3.7333336,5.172,0.010504,0.05627767109252635,2689515.0,-0.0083333250549108,-0.29999998597537814,50.0,35.0,74.0,40,100.0,Mult(100%),,,,,,,,,,,,,,,
PNVL3,DIMED       ON      NM,Ação,outros,10.88,14.71,0.3523,53.0,Neutro,0.10398,0.06206095312915053,0.09288952087019908,2.856383955251573,12.363637,8.137,0.032169,0.11369081336183684,1032330.0,-0.25488072906628256,0.012345217804274,50.0,52.0,59.2,35,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
ASML34,ASML HOLD   DRN,BDR,BDR Tech (EUA),181.97,176.51,-0.03,53.0,Neutro,0.52236,0.6727569878507453,0.3841854086502405,-0.6792745990135693,65.45683,306.233,0.005331,0.15551134263329014,30624.1,0.40749190304090654,0.7046930574015207,48.5,90.0,6.8,75,60.0,Mult(100%),,,,,,,,,,,,,,,
RAIL3,RUMO S.A.   ON      NM,Ação,Transporte & Logística,12.45,13.18,0.0586,52.3,Neutro,0.07334,0.11120271340935095,0.5042414030960639,2.9001789012780588,22.232141,6.154,0.008835,0.12057120928716492,12135595.0,-0.23553809458670671,-0.2577161067683946,46.2,72.0,44.0,30,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
ABCB4,ABC BRASIL  PN      N2,Banco,Bancos & Financeiro,24.24,51.98,1.1444,52.2,Neutro,0.15,,,,4.480592,,0.107261,0.1361,815375.0,-0.0748091959826871,0.02305515336802033,51.5,63.0,40.0,40,100.0,DDM(35%) + RIM(25%) + P/BV(25%) + EDCF(15%),-0.0331,0.3864,0.1019,,0.8207489,0.9555,,Proxy,Proxy,,Proxy,,,,
SOJA3,BOA SAFRA   ON      NM,Ação,outros,5.88,12.74,1.1674,52.2,Neutro,0.05975,0.02754699713769798,0.09405988449510069,3.496705582230455,73.5,11.917,0.07483,0.14202334910657233,1007935.0,-0.27317676099672517,-0.28460140744565443,50.0,41.0,76.0,20,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
PFRM3,PROFARMA    ON      NM,Ação,outros,6.54,12.42,0.8989,52.2,Neutro,0.07,0.0919794888614073,0.04530789472374226,2.248772646053674,7.604651,5.791,0.142202,0.13573286859742995,168150.0,-0.22235433049793818,-0.26903227628813897,50.0,47.0,76.0,10,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
